unit number,species,date planted,mean dbh (cm) for plot,age (years)
102,beech,1775,94.6,232
103,beech,1775,76,232
114,beech,1950,,
118,beech,1700,121.7,307
119,beech,1775,,232
139,beech,1800,96.2,207
337,beech,1931,46.6,76
352,beech,1750,,
361,beech,1829,72.4,178
363,beech,1700,117,307
366,beech,1800,87.9,207
369,beech,1850,78.2,157
391,beech,1900,57.8,107
398,beech,1800,84.1,207
400,beech,1910,,
406,beech,1810,,
432,beech,1930,43.4,77
441,beech,1957,22.1,50
459,beech,1800,69.4,207
460,beech,1849,43.8,158
467,beech,1800,,
468,beech,1800,76.5,207
485,beech,1850,51.2,157
490,beech,,,
492,beech,1810,49.7,197
494,beech,1808,,
495,beech,1820,,
496,beech,1860,55.2,147
503,beech,1750,,
530,beech,1750,91.3,257
537,beech,1953,31.6,54
549,beech,1945,28.9,62
551,beech,1929,36.6,78
554,beech,1829,,
556,beech,1967,23.7,40
56,beech,1800,81.1,207
567,beech,1900,35.9,107
58,beech,1800,63.5,207
59,beech,1800,57.2,207
63,beech,1956,47.2,51
64,beech,1860,28.9,147
65,beech,1955,,
68,beech,1965,,
