Block,Year,Beech,Holly,Oak
1,2001,,,
2,2001,,,
3,2001,,,
4,2001,,,
5,2001,,,
6,2001,,,
7,2001,1,,1
8,2001,,,
9,2001,,,
10,2001,,,
11,2001,,,
12,2001,,,
13,2001,,,
14,2001,,,
15,2001,,,
16,2001,,,
17,2001,,,
18,2001,,,
19,2001,,,
20,2001,1,,1
21,2001,,,
22,2001,,,
23,2001,,,
24,2001,,,
25,2001,,,1
26,2001,1,,1
27,2001,,,
28,2001,,,
29,2001,,1,
30,2001,,1,1
31,2001,,1,
32,2001,,,
33,2001,,1,
34,2001,,1,
35,2001,,1,
36,2001,,1,
37,2001,,,
38,2001,,,
39,2001,,,
40,2001,,,
41,2001,,,
42,2001,,,
43,2001,,,
44,2001,,,
45,2001,,,
46,2001,,,
47,2001,,,
48,2001,,,
49,2001,,,
50,2001,,,
1,1964,,,
2,1964,,,
3,1964,,,
4,1964,,,
5,1964,,,
6,1964,,,
7,1964,,,
8,1964,,,
9,1964,,,
10,1964,,,
11,1964,,,
12,1964,,,
13,1964,,,
14,1964,,,
15,1964,,,
16,1964,,,
17,1964,,,
18,1964,,,
19,1964,,,
20,1964,,,
21,1964,,,
22,1964,,,
23,1964,,,
24,1964,,,
25,1964,,,
27,1964,,,
28,1964,,,
29,1964,,,
30,1964,,,
31,1964,,,
32,1964,,,
33,1964,,,
34,1964,,,
35,1964,,,
36,1964,,,
37,1964,,,
38,1964,,,
39,1964,,,
40,1964,,,
41,1964,,,
42,1964,,,
43,1964,,,
46,1964,,,
47,1964,,,
48,1964,,,
49,1964,,,
50,1964,,,
1,2014,,,
2,2014,,,
3,2014,,,
4,2014,,,
5,2014,,,
6,2014,,,
7,2014,,,
8,2014,,,
9,2014,,,
10,2014,,,
11,2014,,,
12,2014,,,
13,2014,,,
14,2014,,,
15,2014,,,
16,2014,,,
17,2014,,,
18,2014,,,
19,2014,,,
20,2014,,,
21,2014,,,
22,2014,,,
23,2014,,,
24,2014,,,
25,2014,,,
26,2014,,,
27,2014,,,
28,2014,,,
29,2014,,,
30,2014,,,
31,2014,,,
32,2014,,,
33,2014,,,
34,2014,,,
35,2014,,,
36,2014,,,
37,2014,,,
38,2014,,,
39,2014,,,
40,2014,,,
41,2014,,,
42,2014,,,
43,2014,,,
44,2014,,,
45,2014,,,
46,2014,,,
47,2014,,,
48,2014,,,
49,2014,,,
50,2014,,,
