Block,Year,BAM
1,1964,25.00118704
1,1984,29.19275886
1,1988,17.1261371
1,1996,15.56784824
1,2014,17.54946851
2,1964,35.30364744
2,1984,43.53807595
2,1988,44.67951473
2,1996,37.58008475
2,2014,46.01547353
3,1964,48.87140072
3,1984,52.99534976
3,1988,52.3776341
3,1996,43.58563181
3,2014,33.30481571
4,1964,73.18732786
4,1984,68.95330526
4,1988,65.16299336
4,1996,57.56481591
4,2014,34.48728462
5,1964,27.05500323
5,1984,30.9942659
5,1988,30.81201425
5,1996,7.330140694
5,2014,8.607099323
6,1964,37.16504109
6,1984,41.80008799
6,1988,41.9374934
6,1996,43.68633949
6,2014,47.67252562
7,1964,45.98506247
7,1984,7.1157859
7,1988,6.673704909
8,1964,61.59092397
8,1984,29.13972485
8,1988,31.20816909
8,1996,35.59720964
8,2014,18.75949396
9,1964,36.3933874
9,1984,35.34735485
9,1988,36.21474858
9,1996,28.17117183
9,2014,35.92355957
10,1964,32.49584901
10,1984,18.24668429
10,1988,18.78051942
10,1996,19.36102684
10,2014,20.88431037
11,1964,45.59236339
11,1984,27.4018547
11,1988,27.60277918
11,1996,21.56514861
11,2014,27.26970968
12,1964,36.33055554
12,1984,39.4338404
12,1988,37.38467769
12,1996,41.4379998
12,2014,50.46186485
13,1964,42.14741069
13,1984,40.19065007
13,1988,38.50942676
13,1996,33.91196117
13,2014,42.3080103
14,1964,37.48950871
14,1984,44.32561432
14,1988,43.0205771
14,1996,40.1223008
14,2014,48.13844965
15,1964,59.12526461
15,1984,58.61440238
15,1988,40.72562403
15,1996,41.23389445
15,2014,43.69984285
16,1964,41.07583307
16,1984,15.26935766
16,1988,16.79350134
16,1996,18.61829543
16,2014,23.49733798
17,1964,53.43701842
17,1984,49.18375357
17,1988,46.53715811
17,1996,27.07781905
17,2014,28.40343537
18,1964,41.10184939
18,1984,37.29965834
18,1988,37.41642741
18,1996,42.29693087
18,2014,45.24203253
19,1964,32.88069411
19,1984,35.64191843
19,1988,35.57317646
19,1996,35.00692402
19,2014,41.85884679
20,1964,30.95646861
20,1984,33.81480742
20,1988,35.57394222
20,1996,39.55157159
20,2014,45.80220288
21,1964,72.89574879
21,1984,75.49239293
21,1988,75.19902708
21,1996,76.38727559
21,2014,83.4738182
22,1964,40.3675021
22,1984,29.39519524
22,1988,30.79247747
22,1996,23.08063327
22,2014,27.76428246
23,1964,34.99046993
23,1984,48.42183881
23,1988,49.65406962
23,1996,50.8563375
23,2014,49.81957804
24,1964,51.46714165
24,1984,54.14067627
24,1988,53.64489367
24,1996,55.24111727
24,2014,17.48436455
27,1964,20.07526793
27,1984,23.62191005
27,1988,21.66933168
27,1996,24.23183063
27,2014,30.05516873
28,1964,61.96742422
28,1984,69.49939261
28,1988,62.24174416
28,1996,61.07059769
28,2014,64.44208513
29,1964,25.59808964
29,1984,31.16434387
29,1988,26.37439682
29,1996,26.00086145
29,2014,27.9674029
30,1964,49.57482295
30,1984,24.70257865
30,1988,18.17562539
30,1996,6.146447487
30,2014,9.16150562
31,1964,53.07573526
31,1984,59.24368302
31,1988,40.83571722
31,1996,4.047215641
31,2014,16.10553526
32,1964,36.41253148
32,1984,41.38304156
32,1988,24.82861542
32,1996,18.97066432
32,2014,26.15681648
33,1964,63.82489087
33,1984,75.96632181
33,1988,45.41686617
33,1996,44.71285489
33,2014,47.99342176
34,1964,40.56630601
34,1984,6.030640528
34,1988,2.321970765
34,1996,5.578918774
34,2014,8.608392457
35,1964,68.52255364
35,1984,72.97159862
35,1988,40.89034166
35,1996,42.7475727
35,2014,47.07176544
36,1964,39.54283403
36,1984,39.76551405
36,1988,15.01420144
36,1996,16.20932219
36,2014,20.92892475
37,1964,28.11529075
37,1984,29.0301618
37,1988,29.6172273
37,1996,32.83551408
37,2014,33.92392586
38,1964,54.59891682
38,1984,54.25907504
38,1988,55.26458104
38,1996,60.06012405
38,2014,53.67982894
39,1964,41.9068825
39,1984,36.07618471
39,1988,34.07652172
39,1996,36.11710396
39,2014,27.46755691
40,1964,35.31739191
40,1984,38.11988891
40,1988,33.63771977
40,1996,36.04714462
40,2014,43.25990508
41,1964,32.88817503
41,1984,33.83640587
41,1988,19.90615207
41,1996,21.73463753
41,2014,25.00550296
42,1964,56.20505607
42,1984,47.95150312
42,1988,37.12255105
42,1996,41.04314087
42,2014,57.55778834
43,1964,73.17751038
43,1984,56.82114202
43,1988,57.36304712
43,1996,59.89165614
43,2014,67.54336841
46,1964,44.58116325
46,1984,44.8535786
46,1988,26.01456665
46,1996,28.08511183
46,2014,27.54574177
47,1964,70.88181118
47,1984,75.30095212
47,1988,64.2387368
47,1996,66.53278666
47,2014,27.87360096
48,1964,74.0237769
48,1984,71.62432661
48,1988,43.28559007
48,1996,46.48540037
48,2014,35.25898715
49,1964,63.70560853
49,1984,69.58111328
49,1988,73.83355347
49,1996,65.76019049
49,2014,70.46067698
50,1964,42.29761809
50,1984,48.64027767
50,1988,48.04514221
50,1996,52.07606084
50,2014,59.08249694
52,1964,61.6635733
52,1999,25.37768728
52,2014,28.02892315
53,1964,47.91714195
53,1999,29.03575777
53,2014,31.95552709
54,1964,55.91445875
54,1999,25.93677296
54,2014,30.20089142
55,1964,60.87424815
55,1999,43.97016275
55,2014,49.12830032
56,1964,52.22505088
56,1999,22.03670167
56,2014,24.5235709
57,1964,30.18677841
57,1999,18.75711456
57,2014,20.62523735
58,1964,29.6782331
58,1999,1.074149798
58,2014,2.008386438
60,1964,38.40989718
60,1999,15.99373039
60,2014,1.293133962
61,1964,56.45245649
61,1999,30.42848469
61,2014,42.39942159
62,1964,22.13252024
62,1999,19.91765815
62,2014,25.9095305
63,1964,59.19005996
63,1999,43.23868217
63,2014,38.25663501
64,1964,56.41281352
64,1999,29.56034484
64,2014,35.32642831
65,1964,33.6130779
65,1999,3.923162001
65,2014,3.07790704
66,1964,74.2397614
66,1999,16.17721904
66,2014,19.61763732
67,1964,10.93470593
67,1999,28.49027911
67,2014,34.57313025
