Plot2,Species,Count
48-49,Ilex aquifolium,35
48-49,Fagus sylvatica,4
48-49,Quercus spp,1
49-50,Ilex aquifolium,46
49-50,Quercus spp,1
47-48,Ilex aquifolium,155
47-48,Fagus sylvatica,7
46-47,Ilex aquifolium,92
46-47,Pinus sylvestris,1
45-46,Ilex aquifolium,86
45-46,Fagus sylvatica,1
42-43,Quercus spp,6
42-43,Ilex aquifolium,4
41-42,Ilex aquifolium,5
41-42,Taxus baccata,1
40-41,Ilex aquifolium,27
40-41,Quercus spp,6
40-41,Fagus sylvatica,5
40-41,Betula spp,2
39-40,Ilex aquifolium,5
38-39,Ilex aquifolium,30
37-38,Ilex aquifolium,14
37-38,Fagus sylvatica,1
37-38,Tsuga heterophylla,1
36-37,Ilex aquifolium,7
36-37,Fagus sylvatica,1
43-44,Ilex aquifolium,25
43-44,Fagus sylvatica,10
43-44,Sorbus aucuparia,1
43-44,Quercus spp,11
43-44,Betula spp,3
43-44,Pinus sylvestris,1
43-44,Pseudotsuga menziesii,3
43-44,Picea sitchensis,1
44-45,Ilex aquifolium,51
44-45,Fagus sylvatica,3
44-45,Pseudotsuga menziesii,2
42-43,Quercus spp,6
35-36,Ilex aquifolium,43
35-36,Fagus sylvatica,2
35-36,Quercus spp,1
34-35,Ilex aquifolium,9
33-34,Ilex aquifolium,42
33-34,Quercus spp,3
32-33,Ilex aquifolium,11
32-33,Fagus sylvatica,1
32-33,Quercus spp,3
30-31,Ilex aquifolium,76
30-31,Fagus sylvatica,1
30-31,Sorbus aucuparia,1
30-31,Betula spp,3
30-31,Quercus spp,4
29-30,Ilex aquifolium,8
29-30,Betula spp,2
29-30,Fagus sylvatica,1
28-29,Fagus sylvatica,3
28-29,Ilex aquifolium,23
26-27,Ilex aquifolium,17
26-27,Quercus spp,2
27-28,Ilex aquifolium,58
27-28,Fagus sylvatica,1
23-24,Ilex aquifolium,36
25-26,Ilex aquifolium,4
25-26,Quercus spp,1
25-26,Fraxinus excelsior,1
27-28,Sorbus aucuparia,1
24-25,No seedlings,0
22-23,Ilex aquifolium,8
21-22,Ilex aquifolium,6
20-21,Ilex aquifolium,8
19-20,Ilex aquifolium,7
18-19,Ilex aquifolium,19
18-19,Quercus spp,1
17-18,Ilex aquifolium,12
17-18,Quercus spp,2
16-17,Ilex aquifolium,38
15-16,Ilex aquifolium,18
14-15,Ilex aquifolium,58
14-15,Pseudotsuga menziesii,1
14-15,Quercus spp,3
14-15,Fagus sylvatica,1
13-14,Ilex aquifolium,16
13-14,Quercus spp,3
12-13,Ilex aquifolium,65
11-12,Ilex aquifolium,34
11-12,Fagus sylvatica,1
10-11,Ilex aquifolium,58
10-11,Quercus spp,1
10-11,Pseudotsuga menziesii,1
9-10,Ilex aquifolium,19
9-10,Fagus sylvatica,2
9-10,Quercus spp,1
8-9,Ilex aquifolium,15
8-9,Quercus spp,1
8-9,Pinus sylvestris,1
7-8,Ilex aquifolium,95
7-8,Fagus sylvatica,3
7-8,Quercus spp,2
6-7,Ilex aquifolium,11
6-7,Fagus sylvatica,11
6-7,Quercus spp,2
6-7,Betula spp,2
5-6,Ilex aquifolium,34
5-6,Sorbus aucuparia,1
5-6,Pseudotsuga menziesii,2
5-6,Pinus sylvestris,2
4-5,Ilex aquifolium,48
4-5,Quercus spp,1
3-4,Ilex aquifolium,44
3-4,Quercus spp,1
3-4,Sorbus aucuparia,1
2-3,Ilex aquifolium,37
2-3,Quercus spp,1
2-3,Pinus sylvestris,1
2-3,Fagus sylvatica,5
1-2,Ilex aquifolium,11
0-1,Ilex aquifolium,6
0-1,Fagus sylvatica,2
66-67,Ilex aquifolium,10
66-67,Fagus sylvatica,2
66-67,Betula spp,1
65-66,Ilex aquifolium ,19
65-66,Quercus spp ,4
65-66,Fagus sylvatica,1
64-65,Ilex aquifolium,20
64-65,Crataegus,1
64-65,Fagus sylvatica,1
64-65,Quercus spp ,1
63-64,Ilex aquifolium,8
63-64,Fagus sylvatica,1
63-64,Crataegus,1
62-63,Ilex aquifolium,9
62-63,Fagus sylvatica,1
62-63,Quercus spp ,1
62-63,Crataegus,1
61-62,Crataegus,1
61-62,Fraxinus excelsior,5
61-62,Ilex aquifolium,7
60-61,Ilex aquifolium,4
60-61,Crataegus,2
60-61,Fagus sylvatica,1
59-60,Ilex aquifolium,13
59-60,Quercus spp,2
59-60,Crataegus ,5
59-60,salix,1
59-60,Fagus sylvatica,1
58-59,Ilex aquifolium,16
58-59,Fagus sylvatica,2
58-59,Quercus spp,3
58-59,Crataegus ,2
58-59,salix ,1
58-59,Betula spp,1
57-58,Ilex aquifolium,1
57-58,Crataegus,3
56-57,Ilex aquifolium,13
56-57,Crataegus,2
55-56,Ilex aquifolium,3
55-56,Fagus sylvatica,1
54-55,Ilex aquifolium,12
54-55,Fagus sylvatica,1
54-55,Quercus spp,1
54-55,Sorbus aucuparia,1
54-55,salix,1
53-54,Ilex aquifolium,10
53-54,Quercus spp,3
53-54,Fagus sylvatica,1
52-53,Ilex aquifolium,26
52-53,Quercus spp,6
52-53,Fagus sylvatica,1
52-53,Malus,2
51-52,Ilex aquifolium,21
51-52,Quercus spp,1
51-52,Fagus sylvatica,2
