Plot,Clay,Silt,Sand
1,9,20,71
2,10,19,71
3,27,23,50
4,36,34,30
5,29,31,40
6,17,26,57
7,20,25,55
8,14,26,60
9,15,27,58
10,15,27,58
11,14,28,58
12,13,31,56
13,14,30,56
14,13,26,61
15,15,28,57
16,16,27,57
17,18,26,56
18,20,27,53
19,19,26,55
20,16,27,57
21,15,21,64
22,18,22,60
23,14,22,64
24,19,28,53
25,20,28,52
26,18,29,53
27,17,28,55
28,18,32,50
29,20,33,47
30,20,31,49
31,19,28,53
32,18,27,55
33,18,24,58
34,17,27,56
35,19,27,54
36,16,27,57
37,14,24,62
38,18,26,56
39,17,27,56
40,16,25,59
41,18,25,57
42,15,24,61
43,16,25,59
46,14,24,62
47,14,23,63
48,14,24,62
49,14,25,61
50,14,23,63
51,16,28,56
52,19,28,53
53,18,25,57
54,17,28,55
55,19,30,51
56,19,31,50
57,21,34,45
58,24,32,44
59,27,32,41
60,22,28,50
61,19,27,54
62,23,33,44
63,23,32,45
64,19,33,48
65,16,27,57
66,19,29,52
