"Block","Species","Period","YBS","Rate","Mort_adj","Clay","Silt","Sand"
50,"I","1964-1984",20,0.00831791732146236,0.00990589606930514,14,23,63
50,"F","1964-1984",20,0.0210200920522795,0.00990589606930514,14,23,63
50,"Q","1964-1984",20,0.00907465237692462,0.00990589606930514,14,23,63
50,"I","1984-1988",4,0.0198117921386103,0,14,23,63
50,"F","1984-1988",4,0.0608955842462475,0,14,23,63
50,"Q","1984-1988",4,0.0542583909968242,0,14,23,63
50,"I","1988-1996",8,0,0,14,23,63
50,"F","1988-1996",8,0,0,14,23,63
50,"Q","1988-1996",8,0,0,14,23,63
